INDEX  ROW  COLUMN R   G   B
3631   29   47     121 109 90
3632   29   48     128 106 90
3633   29   49     122 104 86
3634   29   50     121 97  83
3635   29   51     124 94  75
3636   29   52     131 87  67
3637   29   53     133 78  61
3638   29   54     124 70  48
3639   29   55     114 65  42
3640   29   56     110 57  39
3641   29   57     105 58  33
3642   29   58     101 52  29
3643   29   59     97  47  27
3644   29   60     100 51  28
3645   29   61     102 51  31
3646   29   62     105 58  35
3647   29   63     112 58  34
3648   29   64     106 56  36
3649   29   65     107 59  33
3650   29   66     104 56  34
3651   29   67     105 56  33
3652   29   68     103 59  32
3653   29   69     104 58  29
3654   29   70     98  53  30
3677   29   93     110 98  97
3679   29   95     160 155 150
3702   29   118    177 178 180
3704   29   120    176 178 175
3706   29   122    177 179 176
3707   29   123    179 181 176
3708   29   124    178 179 181
3742   30   30     182 180 177
3745   30   33     141 139 136
3746   30   34     152 153 149
3747   30   35     175 172 173
3750   30   38     183 179 178
3751   30   39     179 176 177
3752   30   40     173 169 168
3753   30   41     162 158 151
3754   30   42     147 145 133
3755   30   43     137 127 115
3756   30   44     135 123 114
3757   30   45     135 128 115
3758   30   46     146 136 127
3759   30   47     151 141 132
3760   30   48     151 141 132
3761   30   49     146 138 127
3762   30   50     143 129 121
3763   30   51     142 120 107
3764   30   52     141 109 95
3765   30   53     134 98  82
3766   30   54     121 77  55
3767   30   55     103 64  39
3768   30   56     95  49  32
3769   30   57     98  50  26
3770   30   58     97  52  29
3771   30   59     100 55  33
3772   30   60     108 54  32
3773   30   61     109 56  35
3774   30   62     110 56  32
3775   30   63     111 59  37
3776   30   64     106 61  36
3777   30   65     108 63  35
3778   30   66     104 61  33
3779   30   67     99  59  34
3780   30   68     97  55  29
3805   30   93     96  78  76
3806   30   94     116 102 95
3807   30   95     137 133 130
3808   30   96     162 159 157
3830   30   118    185 186 188
3831   30   119    181 182 178
3832   30   120    172 168 166
3833   30   121    163 159 158
3834   30   122    156 157 152
3837   30   125    180 176 175
3868   31   28     180 181 183
3869   31   29     185 181 184
3871   31   31     163 161 154
3872   31   32     147 146 137
3873   31   33     151 146 134
3874   31   34     162 160 157
3875   31   35     180 175 178
3876   31   36     180 183 184
3879   31   39     181 183 178
3880   31   40     180 176 179
3883   31   43     161 155 153
3884   31   44     158 154 151
3885   31   45     162 159 156
3886   31   46     168 169 165
3887   31   47     176 170 169
3888   31   48     173 171 169
3889   31   49     167 168 163
3890   31   50     162 158 155
3891   31   51     162 148 140
3892   31   52     155 136 126
3893   31   53     140 116 102
3894   31   54     117 92  71
3895   31   55     95  61  45
3898   31   58     95  52  33
3899   31   59     108 58  39
3900   31   60     111 62  39
3901   31   61     113 59  35
3902   31   62     111 57  35
3903   31   63     109 60  35
3904   31   64     110 63  38
3905   31   65     110 67  39
3906   31   66     109 65  38
3907   31   67     102 65  36
3934   31   94     96  85  79
3935   31   95     123 116 109
3936   31   96     151 150 143
3937   31   97     175 172 173
3939   31   99     176 177 173
3940   31   100    174 175 171
3957   31   117    186 187 189
3959   31   119    173 171 169
3960   31   120    148 142 145
3961   31   121    126 127 122
3962   31   122    122 115 112
3963   31   123    135 132 129
3966   31   126    176 179 180
3996   32   28     182 183 185
3997   32   29     181 186 184
3999   32   31     164 160 150
4000   32   32     156 148 135
4001   32   33     158 153 139
4009   32   41     180 181 176
4010   32   42     179 176 177
4011   32   43     174 172 176
4014   32   46     179 184 182
4016   32   48     179 183 181
4018   32   50     177 174 175
4019   32   51     175 169 170
4020   32   52     165 160 155
4021   32   53     151 143 132
4022   32   54     124 102 95
4023   32   55     94  70  56
4026   32   58     92  48  32
4027   32   59     103 57  39
4028   32   60     113 64  41
4029   32   61     114 59  39
4030   32   62     112 61  37
4031   32   63     112 61  35
4032   32   64     115 69  40
4033   32   65     118 75  50
4034   32   66     112 78  48
4035   32   67     104 71  44
4056   32   88     93  73  60
4062   32   94     94  78  68
4063   32   95     119 102 96
4064   32   96     143 134 127
4065   32   97     163 157 155
4068   32   100    163 164 159
4085   32   117    188 184 187
4086   32   118    184 185 181
4087   32   119    156 157 159
4088   32   120    125 114 109
4089   32   121    93  83  77
4091   32   123    99  94  87
4092   32   124    121 115 110
4093   32   125    146 140 136
4094   32   126    160 162 157
4095   32   127    153 152 147
4096   32   128    153 152 147
4124   33   28     180 183 184
4125   33   29     180 181 186
