INDEX  ROW  COLUMN R   G   B
1950   31   30     181 175 155
1951   31   31     181 176 167
1952   31   32     181 179 173
1953   31   33     181 178 175
1954   31   34     181 178 175
1955   31   35     181 179 173
1956   31   36     180 177 174
1958   31   38     179 176 173
1963   31   43     181 179 167
1964   31   44     181 179 144
1965   31   45     182 176 117
1966   31   46     184 176 102
1967   31   47     184 177 110
1968   31   48     182 178 135
1969   31   49     185 178 154
1970   31   50     183 180 165
1971   31   51     183 178 169
1972   31   52     181 180 171
1973   31   53     181 180 171
1974   31   54     180 181 169
1975   31   55     181 179 163
1976   31   56     184 175 150
1977   31   57     186 173 132
1978   31   58     186 169 120
1979   31   59     185 167 120
1980   31   60     184 165 132
1981   31   61     182 164 140
1982   31   62     121 109 96
1996   32   12     160 157 154
1997   32   13     174 169 160
1998   32   14     180 173 164
1999   32   15     180 173 164
2000   32   16     180 173 166
2001   32   17     180 176 165
2002   32   18     180 176 156
2003   32   19     181 176 146
2004   32   20     184 176 146
2005   32   21     184 176 152
2006   32   22     187 174 157
2007   32   23     187 172 155
2008   32   24     188 172 144
2009   32   25     187 168 135
2010   32   26     185 170 128
2011   32   27     184 169 127
2012   32   28     184 169 130
2013   32   29     184 172 133
2014   32   30     183 172 145
2015   32   31     183 173 159
2016   32   32     180 179 170
2028   32   44     181 180 154
2029   32   45     180 177 134
2030   32   46     180 179 122
2031   32   47     179 178 129
2032   32   48     182 178 150
2033   32   49     179 180 168
2039   32   55     185 177 165
2040   32   56     187 176 149
2041   32   57     190 172 134
2042   32   58     191 172 126
2043   32   59     186 170 138
2044   32   60     182 173 153
2045   32   61     180 170 156
2046   32   62     118 113 104
2062   33   14     181 178 175
2063   33   15     181 177 176
2064   33   16     180 177 174
2065   33   17     179 178 169
2066   33   18     181 175 155
2067   33   19     183 175 145
2068   33   20     183 175 140
2069   33   21     186 173 146
2070   33   22     189 173 145
2071   33   23     193 166 133
2072   33   24     196 161 116
2073   33   25     193 160 106
2074   33   26     189 161 107
2075   33   27     185 165 114
2076   33   28     184 167 124
2077   33   29     184 169 130
2078   33   30     184 170 141
2079   33   31     183 174 155
2080   33   32     182 177 168
2092   33   44     179 180 167
2093   33   45     180 179 153
